seed,ancestors_multiset_precision_failures,ancestors_multiset_f1_failures,ancestors_unique_precision_failures,ancestors_unique_f1_failures,ancestors_unique_restricted_precision_failures,ancestors_unique_restricted_f1_failures,total_failures
2,1,1,1,1,1,1,6
3,1,1,1,1,1,1,6
32,0,0,1,1,1,1,4
35,0,1,1,1,1,1,5
40,0,1,1,1,1,1,5
42,1,1,1,1,1,1,6
62,1,1,1,1,1,1,6
63,0,0,1,1,1,1,4
92,1,1,0,0,0,0,2
144,1,1,1,1,1,1,6
158,1,0,0,0,0,0,1
162,1,1,1,1,1,1,6
180,1,1,1,1,1,1,6
194,1,1,1,1,1,1,6
200,0,0,1,0,1,0,2
205,0,1,0,1,0,0,2
213,0,1,0,0,0,0,1
261,1,1,1,1,1,1,6
295,1,1,1,1,1,1,6
298,1,1,0,1,0,1,4
302,1,1,0,0,0,0,2
425,1,1,1,1,1,1,6
439,1,0,1,1,1,1,5
526,1,1,1,1,1,1,6
528,1,1,1,1,1,1,6
552,1,1,0,0,0,0,2
602,1,1,1,1,1,1,6
616,0,0,1,1,1,1,4
632,1,1,1,1,1,1,6
810,0,1,0,1,0,1,3
851,1,1,1,1,1,1,6
860,0,0,1,1,1,1,4
888,0,0,1,1,1,1,4
891,1,1,1,1,1,1,6
914,1,1,1,1,1,1,6
925,0,1,0,1,0,1,3
935,0,1,0,1,0,1,3
946,0,1,0,0,0,0,1
955,0,1,0,0,0,0,1
977,0,1,0,1,0,1,3
