seed,ancestors_multiset_precision_failures,ancestors_multiset_f1_failures,ancestors_unique_precision_failures,ancestors_unique_f1_failures,ancestors_unique_restricted_precision_failures,ancestors_unique_restricted_f1_failures,total_failures
2,0,1,0,0,0,0,1
40,0,1,1,1,1,1,5
95,0,1,0,0,0,0,1
105,0,1,0,0,0,0,1
107,0,1,0,0,0,0,1
112,0,1,0,0,0,0,1
128,0,0,1,0,1,0,2
137,0,1,0,1,0,0,2
158,0,1,1,1,1,1,5
162,0,1,0,0,0,0,1
188,0,1,0,0,0,0,1
208,0,1,1,0,1,0,3
213,1,1,1,1,1,1,6
285,0,1,1,1,1,1,5
318,0,1,0,0,0,0,1
439,0,1,1,1,1,1,5
498,0,1,0,1,0,1,3
542,1,1,1,1,1,1,6
548,0,1,0,0,0,0,1
552,0,1,0,0,0,0,1
569,0,1,1,1,1,1,5
571,0,1,1,1,1,1,5
592,0,1,0,0,0,0,1
616,0,0,1,0,1,1,3
632,0,1,1,1,1,1,5
661,0,1,1,1,1,1,5
706,0,1,1,1,1,1,5
810,0,1,0,0,0,0,1
834,0,1,0,1,0,0,2
851,0,1,0,0,0,0,1
891,0,1,1,1,1,1,5
914,0,1,0,0,0,0,1
929,1,1,1,1,1,1,6
935,0,1,1,1,1,1,5
951,0,1,0,0,0,0,1
973,0,0,1,0,1,0,2
